job_title,company_size,ai_adoption_level,automation_risk,salary_usd,remote_friendly,job_growth_projection,industry_Energy,industry_Entertainment,industry_Finance,industry_Healthcare,industry_Manufacturing,industry_Retail,industry_Technology,industry_Telecommunications,industry_Transportation,location_Dubai,location_London,location_New York,location_Paris,location_San Francisco,location_Singapore,location_Sydney,location_Tokyo,location_Toronto,skill_javascript,skill_python,skill_sales,skill_marketing,skill_data_analysis,skill_ux/ui_design,skill_project_management,skill_communication,skill_machine_learning,skill_cybersecurity
Cybersecurity Analyst,Small,Medium,High,111392.16524315962,Yes,Growth,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Marketing Specialist,Large,Medium,High,93792.56246610906,No,Decline,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0
AI Researcher,Large,Medium,High,107170.26306894996,Yes,Growth,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,1,0,0,0,0
Sales Manager,Small,Low,High,93027.95375786416,No,Growth,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
Cybersecurity Analyst,Small,Low,Low,87752.92217059238,Yes,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,0,0,0,0,0
UX Designer,Large,Medium,Medium,102825.0078665678,No,Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,1
HR Manager,Medium,Low,High,102065.72067347592,Yes,Growth,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1,0,0,0,0,0,0,0
Cybersecurity Analyst,Small,Medium,Low,86607.3176180969,Yes,Decline,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0
AI Researcher,Large,High,Low,75015.86084571481,No,Stable,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
Sales Manager,Medium,High,Low,96834.57829480869,Yes,Decline,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,1
Marketing Specialist,Small,High,High,91566.97337925188,Yes,Growth,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,0,0,0,0,0,0,0
AI Researcher,Medium,Medium,High,78902.56574458485,No,Growth,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,1,0,0,0,0
AI Researcher,Large,High,Medium,73151.99034926406,Yes,Growth,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0,1,0,0,0,0,0,0,0,0
HR Manager,Small,Low,High,98209.51687788912,Yes,Decline,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1
Product Manager,Medium,High,High,101001.90114055388,Yes,Growth,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0,0,0,0,0,0,0,0,0
Sales Manager,Small,High,Low,82799.35770690278,No,Growth,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Software Engineer,Medium,High,Medium,78401.25928174148,No,Decline,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,1,0
AI Researcher,Large,Low,High,73394.89621925619,No,Stable,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,0,0,0
Product Manager,Large,Medium,High,97645.09878289838,Yes,Stable,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Software Engineer,Small,Low,Low,73920.45852718527,Yes,Growth,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Sales Manager,Medium,Medium,Low,134822.69138041462,Yes,Decline,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0,0,0,0,0,0,0
Data Scientist,Small,Medium,High,81794.37128058006,Yes,Growth,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0
UX Designer,Small,High,Medium,41495.71444254798,No,Decline,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,1
Product Manager,Medium,Medium,Medium,89396.5666674173,Yes,Decline,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0
Operations Manager,Medium,Low,Low,88539.33040362394,Yes,Stable,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0,0,0,0,0,1,0,0,0,0
Data Scientist,Medium,Low,Low,112234.37135048377,Yes,Stable,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,1,0,0,0,0,0,0,0
UX Designer,Large,Medium,High,95762.52473455408,No,Decline,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,0,0,0,0,1,0,0,0,0
HR Manager,Small,High,Low,73323.29633120395,Yes,Growth,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,1
Cybersecurity Analyst,Small,High,High,84272.16253006447,Yes,Stable,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0
Marketing Specialist,Large,Low,Medium,96548.39543301976,Yes,Growth,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0,1,0,0,0,0,0,0,0,0
Operations Manager,Medium,High,Medium,46705.714993791786,Yes,Stable,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0
